model_type,batch_size,avg_time,std_time,median_time
old,16,0.886,0.223,0.838
new,16,0.713,0.101,0.690
old,64,1.115,0.326,1.001
new,64,0.755,0.119,0.716
old,256,1.938,0.268,1.810
new,256,0.920,0.194,0.836
old,1024,5.949,0.587,6.162
new,1024,1.347,0.100,1.296
