model_type,batch_size,avg_time,std_time,median_time
old,16,0.856,0.191,0.804
new,16,0.743,0.132,0.706
old,32,0.908,0.150,0.863
new,32,0.722,0.082,0.699
old,64,1.046,0.119,0.998
new,64,0.755,0.121,0.717
old,128,1.368,0.265,1.273
new,128,0.834,0.144,0.771
old,256,1.919,0.182,1.829
new,256,0.924,0.174,0.857
old,512,3.101,0.263,3.005
new,512,1.067,0.160,0.996
old,1024,5.577,0.391,5.578
new,1024,1.390,0.125,1.340
