model_type,batch_size,avg_time,std_time,median_time
old,16,0.076,0.009,0.074
new,16,0.022,0.003,0.022
old,64,0.295,0.019,0.294
new,64,0.095,0.011,0.092
old,256,1.020,0.037,1.016
new,256,0.389,0.035,0.387
old,1024,6.423,0.192,6.403
new,1024,1.504,0.115,1.482
